uniqueID,spectrumID,name,asteroid classes,slope,sampleID,pca_1,pca_2,pca_3,pca_4,pca_5,General Type,Type 1,subtype,metbull type,clan subtype,class subtype
LM-CMP-034-BKR1LM034,BKR1LM034,ALHA81005,Q-type,-0.1326,LM-CMP-034,-0.7189,0.2137,-0.1076,-0.0335,-0.0242,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-034-C1LM34,C1LM34,ALHA81005,Q-type,-0.1325,LM-CMP-034,-0.7192,0.2154,-0.1070,-0.0340,-0.0229,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-034-CALM34,CALM34,ALHA81005,B-type,-0.1721,LM-CMP-034,-1.1403,-0.0557,-0.0879,-0.2889,-0.0084,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-034-CBLM34,CBLM34,ALHA81005,Q-type,-0.0970,LM-CMP-034,-0.8166,0.2794,-0.1636,-0.0273,-0.1111,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-034-CCLM34,CCLM34,ALHA81005,B-type,-0.0647,LM-CMP-034,-0.5598,0.0335,-0.2084,-0.1460,-0.1458,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-034-CDLM34,CDLM34,ALHA81005,C-type__Ch-type__Xk-type__Xn-type,-0.2230,LM-CMP-034,-0.8354,-0.0266,-0.0957,-0.2666,-0.0648,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-034-CELM34,CELM34,ALHA81005,Sr-type,-0.1082,LM-CMP-034,0.2152,0.1772,0.0363,0.0323,-0.1665,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-034-CFLM34,CFLM34,ALHA81005,Q-type,-0.1417,LM-CMP-034,-0.7566,0.4456,0.0700,0.1226,0.0428,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-034-CGLM34,CGLM34,ALHA81005,Q-type,-0.1423,LM-CMP-034,-0.7359,0.2289,0.0269,-0.0491,-0.0192,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-035-BKR1LM035,BKR1LM035,QUE 93069,B-type,-0.1182,LM-CMP-035,-0.5346,-0.0129,-0.1959,-0.0954,-0.0553,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-035-C1LM35,C1LM35,QUE 93069,B-type,-0.1174,LM-CMP-035,-0.5342,-0.0190,-0.1940,-0.1003,-0.0503,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-035-CALM35,CALM35,QUE 93069,K-type__Xe-type,-0.1314,LM-CMP-035,-0.6163,0.0793,-0.0412,-0.0214,0.0072,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-035-CBLM35,CBLM35,QUE 93069,B-type,-0.1187,LM-CMP-035,-0.2538,-0.1270,-0.1105,-0.0997,-0.0775,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-035-CCLM35,CCLM35,QUE 93069,B-type,-0.1202,LM-CMP-035,-0.5966,0.0273,-0.1066,-0.0489,-0.0307,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-035-CDLM35,CDLM35,QUE 93069,B-type,-0.0942,LM-CMP-035,-0.2100,-0.0880,-0.0758,-0.1246,-0.1030,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-035-CELM35,CELM35,QUE 93069,B-type,-0.1624,LM-CMP-035,-0.8473,0.1455,-0.1746,-0.0297,-0.0256,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-035-CFLM35,CFLM35,QUE 93069,B-type,-0.1266,LM-CMP-035,-0.6102,0.0514,-0.1535,-0.0102,-0.0718,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-035-CGLM35,CGLM35,QUE 93069,Q-type,0.0107,LM-CMP-035,-1.7815,0.7684,-0.1905,0.0805,0.1198,Rock,Breccia,Lunar Feldspathic Breccia,Lunar (anorth),Lunar,Lunar
LM-CMP-036-C1LM36,C1LM36,MIL 05035,V-type,0.0110,LM-CMP-036,0.4081,0.7933,0.8511,0.2177,-0.1622,Rock,Igneous,Lunar Unbrecciated Basalt,Lunar (basalt),Lunar,Lunar
LM-CMP-037-BKR1LM037,BKR1LM037,EET 87521,O-type__Q-type,-0.1220,LM-CMP-037,-0.8713,0.6257,0.3089,0.0090,-0.0661,Rock,Breccia,Lunar Basaltic Breccia,Lunar (basalt),Lunar,Lunar
LM-CMP-037-C1LM37,C1LM37,EET 87521,O-type__Q-type,-0.0986,LM-CMP-037,-0.9040,0.6624,0.2986,-0.0034,-0.1029,Rock,Breccia,Lunar Basaltic Breccia,Lunar (basalt),Lunar,Lunar
LM-CMP-037-CALM37,CALM37,EET 87521,V-type,-0.1557,LM-CMP-037,-1.3539,1.0717,0.2509,-0.0937,-0.0872,Rock,Breccia,Lunar Basaltic Breccia,Lunar (basalt),Lunar,Lunar
LM-CMP-037-CBLM37,CBLM37,EET 87521,C-type__Ch-type__Xk-type__Xn-type,-0.2209,LM-CMP-037,-0.9894,0.2117,-0.0599,-0.1254,-0.0558,Rock,Breccia,Lunar Basaltic Breccia,Lunar (basalt),Lunar,Lunar
LM-CMP-037-CCLM37,CCLM37,EET 87521,Q-type,-0.0480,LM-CMP-037,-0.8527,0.3224,0.0606,-0.0227,-0.0425,Rock,Breccia,Lunar Basaltic Breccia,Lunar (basalt),Lunar,Lunar
LM-CMP-038-C1LM38,C1LM38,EET 96008,Q-type,-0.1108,LM-CMP-038,-0.7122,0.3016,0.0253,0.0039,-0.0935,Rock,Breccia,Lunar Basaltic Breccia,Lunar (basalt),Lunar,Lunar
LM-CMP-038-CALM38,CALM38,EET 96008,B-type,-0.1276,LM-CMP-038,-0.7761,0.0102,-0.1040,-0.1446,-0.1269,Rock,Breccia,Lunar Basaltic Breccia,Lunar (basalt),Lunar,Lunar
LM-CMP-038-CBLM38,CBLM38,EET 96008,V-type,-0.1400,LM-CMP-038,-0.4092,1.0735,0.4228,0.1797,-0.0712,Rock,Breccia,Lunar Basaltic Breccia,Lunar (basalt),Lunar,Lunar
